DateTime,actual,linear_regression,random_forest
2010-01-01,0.850175,1.486,1.364
2010-01-02,0.9095455177206393,1.482,1.588
2010-01-03,1.4468430555555556,1.393,1.537
2010-01-04,1.1139805555555555,1.273,1.253
2010-01-05,1.541513888888889,1.327,1.373
2010-01-06,1.2341527777777779,1.426,1.296
2010-01-07,1.2287791666666668,1.218,1.296
2010-01-08,1.248061111111111,1.271,1.149
2010-01-09,1.6228472222222223,1.484,1.393
2010-01-10,1.7419902777777776,1.559,1.746
2010-01-11,1.0546416666666667,1.346,1.202
2010-01-12,1.4362127659574468,1.353,1.387
2010-01-13,1.7558379266028847,1.402,1.316
2010-01-14,2.0754630872483224,1.398,1.309
2010-01-15,1.525527777777778,1.617,1.39
2010-01-16,1.4931333333333334,1.705,1.609
2010-01-17,1.3239972222222223,1.623,1.551
2010-01-18,1.3063180555555556,1.291,1.279
2010-01-19,1.689936111111111,1.468,1.477
2010-01-20,1.6331444444444445,1.565,1.498
2010-01-21,1.484622222222222,1.456,1.557
2010-01-22,1.2434902777777777,1.468,1.384
2010-01-23,1.8127241139680335,1.582,1.639
2010-01-24,1.575986111111111,1.649,1.746
2010-01-25,1.3406319444444443,1.366,1.373
2010-01-26,1.4358083333333331,1.481,1.55
2010-01-27,1.9172930555555556,1.468,1.522
2010-01-28,1.4654402777777777,1.483,1.377
2010-01-29,1.4534652777777777,1.467,1.351
2010-01-30,1.9741166666666667,1.687,1.603
2010-01-31,1.2494416666666666,1.732,1.87
2010-02-01,1.1762347222222223,1.172,1.342
2010-02-02,1.4982166666666665,1.302,1.45
2010-02-03,2.0159819444444445,1.382,1.528
2010-02-04,1.6085208333333334,1.383,1.37
2010-02-05,1.4575638888888887,1.395,1.385
2010-02-06,1.8840180555555555,1.57,1.606
2010-02-07,1.1289638888888889,1.558,1.699
2010-02-08,1.7932208333333333,1.133,1.315
2010-02-09,1.6812027777777776,1.484,1.421
2010-02-10,1.3513148019457957,1.471,1.615
